ORTSTNAME,BEZNAME,POINT_X,POINT_Y,ddlong,ddlat
Blankenfelde,Pankow,1491045.382,6913490.967,13.394289,52.6225929
Gatow,Spandau,1465441.16,6888154.857,13.1642818,52.484211
Schmöckwit,Treptow-Köpenic,1521451.258,6867779.44,13.667429,52.3726044
Hansaviertel,Mitte,1485165.887,6894432.109,13.3414726,52.5185356
Baumschulenweg,Treptow-Köpenic,1500630.814,6881626.25,13.4803963,52.4484787
Zehlendorf,Steglitz-Zehlendorf,1475243.992,6879628.642,13.2523422,52.437542
Friedrichshain,Friedrichshain-Kreuzberg,1497720.391,6892937.211,13.4542513,52.5103645
Fennpfuhl,Lichtenberg,1499784.146,6896270.967,13.4727898,52.5285873
Rummelsburg,Lichtenberg,1500816.023,6891071.894,13.4820595,52.500164
Neuköll,Neuköll,1496073.357,6886454.906,13.439456,52.4749107
Spandau,Spandau,1468677.021,6897368.99,13.1933498,52.5345879
Dahlem,Steglitz-Zehlendorf,1478299.936,6883240.212,13.2797947,52.4573174
Kaulsdorf,Marzahn-Hellersdorf,1512325.421,6892315.439,13.5854502,52.5069656
Karow,Pankow,1500338.89,6911572.734,13.4777737,52.612133
Blankenburg,Pankow,1498519.876,6907835.487,13.4614334,52.5917435
Johannisthal,Treptow-Köpenic,1503633.841,6880753.124,13.5073729,52.4436989
Gesundbrunnen,Mitte,1490086.265,6900162.555,13.3856726,52.5498505
Charlottenburg-Nord,Charlottenburg-Wilmersdorf,1480336.35,6897999.582,13.2980881,52.5380325
Kreuzberg,Friedrichshain-Kreuzberg,1491277.774,6890304.601,13.3963766,52.4959679
Kladow,Spandau,1463139.281,6883597.4,13.1436033,52.4592705
Steglitz,Steglitz-Zehlendorf,1483340.258,6883041.774,13.3250723,52.4562302
Wartenberg,Lichtenberg,1504572.232,6905818.035,13.5158024,52.5807304
Prenzlauer Berg,Pankow,1495179.504,6898118.645,13.431426,52.5386848
Märkisches Vierte,Reinickendorf,1486547.456,6909158.406,13.3538828,52.5989609
Waidmannslust,Reinickendorf,1482942.501,6910547.472,13.3214989,52.6065407
Halensee,Charlottenburg-Wilmersdorf,1479808.064,6890383.976,13.2933416,52.4964027
Niederschöneweid,Treptow-Köpenic,1504665.718,6882578.752,13.5166426,52.4536934
Nikolassee,Steglitz-Zehlendorf,1468206.062,6880382.706,13.1891193,52.4416733
Lichterfelde,Steglitz-Zehlendorf,1481322.807,6877743.482,13.3069496,52.4272156
Hellersdorf,Marzahn-Hellersdorf,1514746.363,6897197.011,13.6071978,52.5336494
Heiligensee,Reinickendorf,1472954.46,6911526.432,13.2317753,52.6118813
Wilmersdorf,Charlottenburg-Wilmersdorf,1482943.383,6888439.285,13.3215075,52.4857674
Friedrichshagen,Treptow-Köpenic,1516810.117,6881798.23,13.6257372,52.4494209
Alt-Treptow,Treptow-Köpenic,1497799.767,6889484.391,13.4549646,52.4914818
Niederschönhause,Pankow,1491508.403,6905983.4,13.398448,52.5816345
Französisch Buchhol,Pankow,1495311.796,6911473.515,13.4326143,52.6115913
Borsigwalde,Reinickendorf,1480891.976,6906281.057,13.3030787,52.5832596
Rudow,Neuköll,1502601.964,6875593.738,13.4981031,52.4154396
Schöneber,Tempelhof-Schöneber,1486554.952,6887129.595,13.3539505,52.4785995
Grüna,Treptow-Köpenic,1512834.745,6874555.247,13.5900259,52.4097481
Buckow,Neuköll,1495140.699,6876149.365,13.431077,52.4184837
Buckow,Neuköll,1498712.581,6879324.371,13.4631643,52.4358749
Gropiusstadt,Neuköll,1498911.019,6877300.304,13.4649467,52.4247894
Marienfelde,Tempelhof-Schöneber,1488082.924,6874912.435,13.3676767,52.411705
Rahnsdorf,Treptow-Köpenic,1524158.934,6880680.363,13.6917524,52.4433022
Köpenic,Treptow-Köpenic,1512967.036,6880276.873,13.5912142,52.4410934
Karlshorst,Lichtenberg,1506094.471,6887579.387,13.5294771,52.48106
Weißense,Pankow,1498592.636,6900817.4,13.4620867,52.5534248
Friedrichsfelde,Lichtenberg,1504784.781,6891468.77,13.5177116,52.5023346
Lübar,Reinickendorf,1486415.164,6912101.902,13.3526945,52.6150169
Wittenau,Reinickendorf,1483273.231,6907967.779,13.3244705,52.5924644
Biesdorf,Marzahn-Hellersdorf,1509110.727,6892474.189,13.556572,52.5078316
Wedding,Mitte,1484596.15,6900360.993,13.3363543,52.5509338
Wilhelmstadt,Spandau,1468624.104,6893717.733,13.1928749,52.5146332
Falkenhagener Feld,Spandau,1465660.765,6899961.912,13.166255,52.5487556
Siemensstadt,Spandau,1476446.967,6897999.582,13.2631483,52.5380325
Tiergarten,Mitte,1486872.453,6892725.543,13.3568029,52.5092087
Hermsdorf,Reinickendorf,1481950.311,6912531.85,13.3125858,52.617363
Wannsee,Steglitz-Zehlendorf,1462200.008,6876294.886,13.1351662,52.419281
Friedenau,Tempelhof-Schöneber,1483776.822,6885700.842,13.3289938,52.4707832
Grunewald,Charlottenburg-Wilmersdorf,1473835.083,6888326.837,13.239686,52.4851494
Staaken,Spandau,1463014.926,6896628.155,13.1424866,52.5305405
Marzahn,Marzahn-Hellersdorf,1508515.413,6898255.346,13.5512247,52.5394325
Frohnau,Reinickendorf,1479436.765,6915508.419,13.2900066,52.6335945
Charlottenburg,Charlottenburg-Wilmersdorf,1481792.443,6893797.108,13.3111677,52.5150642
Malchow,Lichtenberg,1501397.225,6905421.159,13.4872808,52.5785637
Reinickendorf,Reinickendorf,1485687.558,6903999.021,13.346158,52.5708008
Mahlsdorf,Marzahn-Hellersdorf,1515480.583,6891429.083,13.6137934,52.5021172
Altglienicke,Treptow-Köpenic,1507721.661,6874720.612,13.5440941,52.410656
Lankwitz,Steglitz-Zehlendorf,1486118.389,6878596.765,13.350029,52.4318924
Pankow,Pankow,1492665.958,6903271.415,13.4088469,52.5668297
Stadtrandsiedlung Malchow,Pankow,1499875.868,6906148.765,13.4736137,52.5825386
Stadtrandsiedlung Malchow,Pankow,1499875.868,6906148.765,13.4736137,52.5825386
Stadtrandsiedlung Malchow,Pankow,1499875.868,6906148.765,13.4736137,52.5825386
Konradshöh,Reinickendorf,1472081.333,6906532.411,13.2239313,52.5846291
Tempelhof,Tempelhof-Schöneber,1490920.586,6884748.34,13.3931675,52.4655724
Hakenfelde,Spandau,1467777.436,6904459.838,13.1852694,52.5733185
Bohnsdorf,Treptow-Köpenic,1510460.104,6872220.294,13.5686941,52.3969536
Müggelhei,Treptow-Köpenic,1522525.129,6874575.091,13.6770763,52.4098587
Schmargendorf,Charlottenburg-Wilmersdorf,1479966.814,6887050.22,13.2947683,52.4781685
Mitte,Mitte,1491607.622,6894546.762,13.3993397,52.519165
Oberschöneweid,Lichtenberg,1505697.595,6884205.943,13.5259113,52.4626007
Wilhelmsruh,Pankow,1487738.083,6906744.078,13.3645782,52.5857849
Tegel,Reinickendorf,1478146.918,6906909.443,13.2784195,52.586689
Haselhorst,Spandau,1473033.835,6898793.333,13.2324877,52.5423698
Adlershof,Treptow-Köpenic,1507721.661,6879205.308,13.5440941,52.4352226
Lichtenrade,Tempelhof-Schöneber,1491806.942,6871744.043,13.4011297,52.3943405
Neu-Hohenschönhause,Lichtenberg,1503877.699,6903039.904,13.5095634,52.5655632
Westend,Charlottenburg-Wilmersdorf,1475442.43,6893201.794,13.2541246,52.5118103
Alt-Hohenschönhause,Lichtenberg,1502998.839,6898453.784,13.501668,52.5405159
Rosenthal,Pankow,1491012.309,6908563.093,13.3939915,52.5957146
Heinersdorf,Pankow,1496568.57,6903734.437,13.4439039,52.569355
Plänterwal,Treptow-Köpenic,1500696.96,6887023.761,13.4809904,52.4780235
Buch,Pankow,1501231.86,6916335.243,13.485795,52.6381035
Lichtenberg,Lichtenberg,1502443.213,6894683.464,13.4966774,52.5199089
Mariendorf,Tempelhof-Schöneber,1490603.086,6879787.393,13.3903151,52.4384117
Moabit,Mitte,1485257.61,6896293.016,13.3422956,52.5287094
Britz,Neuköll,1496172.576,6881189.687,13.4403467,52.4460907
